"id","name","gender","age","class","embarked","country","ticketno","fare","sibsp","parch","survived"
"558","Hogeboom, Mrs. Anna Louisa","female",51,"1st","C","United States",13502,77.1902,"1","0","yes"
"559","Hold, Mrs. Annie Margaret","female",29,"2nd","S","England",26707,26,"1","0","yes"
"560","Hold, Mr. Stephen","male",44,"2nd","S","England",26707,26,"1","0","no"
"561","Holm, Mr. John Fredrik Alexander","male",43,"3rd","S","Sweden",7075,6.09,"0","0","no"
"562","Holthen, Mr. Johan Martin","male",18,"3rd","S","Norway",4001,22.1006,"0","0","no"
"563","Holverson, Mr. Alexander Oskar","male",42,"1st","S","United States",113789,52,"1","0","no"
"564","Holverson, Mrs. Mary Aline","female",35,"1st","S","United States",113789,52,"1","0","yes"
"565","Homer, Mr. Harry","male",40,"1st","S","United States",111426,26.11,"0","0","yes"
"566","Honkanen, Miss. Eliina","female",27,"3rd","S","Finland",3101283,7.1806,"0","0","yes"
"567","Hood, Mr. Ambrose Jr","male",21,"2nd","S","England",14879,73.1,"0","0","no"
"568","Horgan, Mr. John","male",22,"3rd","Q",NA,370377,7.15,"0","0","no"
"569","Hosono, Mr. Masabumi","male",41,"2nd","S","Japan",237798,13,"0","0","yes"
"570","Howard, Miss. May Elizabeth","female",26,"3rd","S","England",39186,8.01,"0","0","yes"
"571","Howard, Mr. Benjamin","male",63,"2nd","S","England",24065,26,"1","0","no"
"572","Howard, Mrs. Ellen Truelove","female",61,"2nd","S","England",24065,26,"1","0","no"
"573","Hoyt, Mr. Frederick Maxfield","male",38,"1st","S","United States",19943,100,"1","0","yes"
"574","Hoyt, Mrs. Jane Anne","female",31,"1st","S","United States",19943,100,"1","0","yes"
"575","Hoyt, Mr. William Fisher","male",43,"1st","C","United States",17600,30.1311,"0","0","no"
"576","Humblen, Mr. Adolf Mathias Nicolai Olsen","male",42,"3rd","S","Norway",348121,7.13,"0","0","no"
"577","Hume, Mr. John Law","male",21,"2nd","S",NA,250654,NA,NA,NA,"no"
"578","Hunt, Mr. George Henry","male",34,"2nd","S","England",1585,12.0506,"0","0","no"
"579","Hyman, Mr. Abraham Joseph","male",34,"3rd","S","England",3470,7.1709,"0","0","yes"
"580","Ibrāhīm, Mr. Husayn Mahmūd Husayn","male",11,"3rd","C",NA,2699,18.1509,"0","0","no"
"581","Ibrāhīm, Mrs. Sāfiyah","female",18,"3rd","C","Syria",2657,7.0407,"0","0","yes"
"582","Ibrahim Shawah, Mr. Yousseff","male",33,"3rd","C","Lebanon",2627,14.0902,"0","0","no"
"583","Icard, Miss. Rose Amélie","female",39,"1st","S",NA,113572,80,"0","0","yes"
"584","Ilett, Miss. Bertha","female",17,"2nd","S","Channel Islands",14885,10.1,"0","0","yes"
"585","Ilieff, Mr. Ylio","male",32,"3rd","S",NA,349220,7.1711,"0","0","no"
"586","Ilmakangas, Miss. Ida Livija","female",17,"3rd","S","United States",3101270,7.1806,"1","0","no"
"587","Ilmakangas, Miss. Pieta Sofia","female",25,"3rd","S","Finland",3101271,7.1806,"1","0","no"
"588","Isham, Miss. Ann Elizabeth","female",50,"1st","C","United States",17595,28.1403,"0","0","no"
"589","Ismay, Mr. Joseph Bruce","male",49,"1st","S","England",112058,NA,"0","0","yes"
"590","Ivanoff, Mr. Kanio","male",20,"3rd","S","Bulgaria",349201,7.1711,"0","0","no"
"591","Jabbur (Zabour), Miss. Hileni","female",16,"3rd","C",NA,2665,14.0901,"1","0","no"
"592","Jabbur (Zabour), Miss. Thamine","female",19,"3rd","C",NA,2665,14.0901,"1","0","no"
"593","Jacobsohn, Mrs. Amy Frances Christy","female",24,"2nd","S","England",243847,27,"2","1","yes"
"594","Jacobsohn, Mr. Sidney Samuel","male",42,"2nd","S","South Africa",243847,27,"1","0","no"
"595","Jalševac, Mr. Ivan","male",30,"3rd","C","Croatia (Modern)",349240,7.1711,"0","0","yes"
"596","Jansson, Mr. Carl Olof","male",21,"3rd","S","Sweden",350034,7.1511,"0","0","yes"
"597","Jardim, Mr. José Neto","male",21,"3rd","S",NA,3101305,7.01,"0","0","no"
"598","Jarvis, Mr. Denzil John","male",46,"2nd","S","Wales",237565,15,"0","0","no"
"599","Jefferys, Mr. Clifford Thomas","male",24,"2nd","S","England",31029,31.1,"2","0","no"
"600","Jefferys, Mr. Ernest Wilfred","male",21,"2nd","S","England",31029,31.1,"2","0","no"
"601","Jenkin, Mr. Stephen Curnow","male",32,"2nd","S","England",33111,10.1,"0","0","no"
"602","Jensen, Mr. Hans Peder","male",20,"3rd","S","Denmark",350050,7.1701,"0","0","no"
"603","Jensen, Mr. Niels Rasmus","male",48,"3rd","S","Denmark",350048,7.0101,"0","0","no"
"604","Jensen, Mr. Svend Lauritz","male",17,"3rd","S","Denmark",350047,7.1701,"1","0","no"
"605","Jermyn, Miss. Annie Jane","female",26,"3rd","Q","Ireland",14313,7.15,"0","0","yes"
"606","Jerwan, Mrs. Marie Marthe","female",23,"2nd","C","United States",541,13.151,"0","0","yes"
"607","Johannesen, Mr. Bernt Johannes","male",29,"3rd","S","Norway",65306,8.0203,"0","0","yes"
"608","Johanson, Mr. Jakob Alfred","male",34,"3rd","S","Finland",3101264,6.0911,"0","0","no"
"609","Johansson, Mr. Erik","male",22,"3rd","S","Sweden",350052,7.1511,"0","0","no"
"610","Johansson, Mr. Gustaf Joel","male",33,"3rd","S","Sweden",7540,8.1301,"0","0","no"
"611","Johansson, Mr. Karl Johan","male",31,"3rd","S","United States",347063,7.1506,"0","0","no"
"612","Johansson, Mr. Nils","male",29,"3rd","S","United States",347467,7.1701,"0","0","no"
"613","Johansson Palmquist, Mr. Oskar Leander","male",26,"3rd","S","Sweden",347070,7.1506,"0","0","yes"
"614","Johnson, Master. Harold Theodor","male",4,"3rd","S",NA,347742,11.0208,"1","1","yes"
"615","Johnson, Miss. Eleanor Ileen","female",1,"3rd","S",NA,347742,11.0208,"1","1","yes"
"616","Johnson, Mr. August","male",49,"3rd","S","United States",370160,NA,NA,NA,"no"
"617","Johnson, Mr. Malkolm Joackim","male",33,"3rd","S","United States",347062,7.1506,"0","0","no"
"618","Johnson, Mrs. Elisabeth Vilhelmina","female",26,"3rd","S",NA,347742,11.0208,"0","2","yes"
"619","Johnson, Mr. William Cahoone Jr.","male",19,"3rd","S","United States",370160,NA,"0","0","no"
"620","Johnston, Master. William Andrew","male",8,"3rd","S","England",6607,23.09,"1","2","no"
"621","Johnston, Miss. Catherine Nellie","female",7,"3rd","S","England",6607,23.09,"1","2","no"
"622","Johnston, Mr. Andrew Emslie","male",35,"3rd","S","Scotland",6607,23.09,"1","2","no"
"623","Johnston, Mrs. Eliza","female",36,"3rd","S","Scotland",6607,23.09,"1","2","no"
"624","Jones, Mr. Charles Cresson","male",46,"1st","S","United States",694,26,"0","0","no"
"625","Jonkoff, Mr. Lalio","male",23,"3rd","S","Bulgaria",349204,7.1711,"0","0","no"
"626","Jonsson, Mr. Carl","male",25,"3rd","S","Sweden",350417,7.1701,"0","0","yes"
"627","Jönsson, Mr. Nils Hilding","male",27,"3rd","S","Sweden",350408,7.1701,"0","0","no"
"628","Joseph (Shahin), Mr. Elias","male",39,"3rd","C","Lebanon",2675,7.0407,"0","2","no"
"629","Julian, Mr. Henry Forbes","male",50,"1st","S","England",113044,26,"0","0","no"
"630","Jussila, Miss. Katriina","female",20,"3rd","S","Finland",4136,9.161,"1","0","no"
"631","Jussila, Miss. Mari Aina","female",21,"3rd","S","Finland",4137,9.161,"1","0","no"
"632","Jussila, Mr. Eiriik","male",32,"3rd","S","Finland",3101286,7.1806,"0","0","yes"
"633","Kallio, Mr. Nikolai Erland","male",17,"3rd","S","Finland",3101274,7.0206,"0","0","no"
"634","Kalvik, Mr. Johannes Halvorsen","male",21,"3rd","S","Norway",8475,8.0808,"0","0","no"
"635","Kantor, Mr. Sinai","male",34,"2nd","S","Russia",244367,26,"1","0","no"
"636","Kantor, Mrs. Miriam","female",24,"2nd","S","Russia",244367,26,"1","0","yes"
"637","Karajic, Mr. Milan","male",30,"3rd","S","Hungary",349246,7.1711,"0","0","no"
"638","Karlsson, Mr. Einar Gervasius","male",21,"3rd","S","Sweden",350053,7.1511,"0","0","yes"
"639","Karlsson, Mr. Julius Konrad Eugen","male",33,"3rd","S","Sweden",347465,7.1701,"0","0","no"
"640","Karlsson, Mr. Nils August","male",22,"3rd","S","Sweden",350060,7.1005,"0","0","no"
"641","Karnes, Mrs. Claire","female",22,"2nd","S","United States",13534,21,"0","0","no"
"642","Karun, Miss. Manca","female",5,"3rd","C","Slovenia",349256,13.0804,"0","1","yes"
"643","Karun, Mr. Franz","male",39,"3rd","C","United States",349256,13.0804,"0","1","yes"
"644","Katavelos, Mr. Vasilios G.","male",19,"3rd","C","Greece",2682,7.0407,"0","0","no"
"645","Keane, Miss. Nora Agnes","female",46,"2nd","Q","Ireland",226593,12.07,"0","0","yes"
"646","Keane, Mr. Andrew","male",23,"3rd","Q","Ireland",12460,7.15,"0","0","no"
"647","Keane, Mr. Daniel","male",35,"2nd","Q","Ireland",233734,12.07,"0","0","no"
"648","Keefe, Mr. Arthur","male",39,"3rd","S","United States",323592,7.05,"0","0","no"
"649","Keeping, Mr. Edwin Herbert","male",33,"1st","S","England",113503,211.1,"0","0","no"
"650","Kelly, Miss. Anna Katherine","female",20,"3rd","Q","Ireland",9234,7.15,"0","0","yes"
"651","Kelly, Miss. Mary","female",22,"3rd","Q","Ireland",14312,7.15,"0","0","yes"
"652","Kelly, Mr. James","male",19,"3rd","S","Scotland",363592,8.01,"0","0","no"
"653","Kelly, Mr. James","male",44,"3rd","Q","Ireland",330911,7.1607,"0","0","no"
"654","Kelly, Mr. James","male",44,"engineering crew","S","England",NA,NA,NA,NA,"no"
"655","Kelly, Mrs. Fanny Maria","female",49,"2nd","S","England",223596,13.1,"0","0","yes"
"656","Kennedy, Mr. John","male",24,"3rd","Q","Ireland",368783,7.15,"0","0","yes"
"657","Kent, Mr. Edward Austin","male",58,"1st","C","United States",11771,29.14,"0","0","no"
"658","Kenyon, Mr. Frederick Roland","male",41,"1st","S","United States",17464,51.1703,"1","0","no"
"659","Kenyon, Mrs. Marion Estelle","female",40,"1st","S","United States",17464,51.1703,"1","0","yes"
"660","Khalil, Mr. Betros","male",25,"3rd","C","Lebanon",2660,14.0901,"1","0","no"
"661","Khalil, Mrs. Zahie","female",20,"3rd","C","Lebanon",2660,14.0901,"1","0","no"
"662","Kiernan, Mr. John Joseph","male",25,"3rd","Q","Ireland",367227,7.15,"1","0","no"
"663","Kiernan, Mr. Philip","male",22,"3rd","Q","Ireland",367229,7.15,"1","0","no"
"664","Kilgannon, Mr. Thomas","male",22,"3rd","Q","Ireland",36865,7.1409,"0","0","no"
"665","Kimball, Mr. Edwin Nelson Jr.","male",42,"1st","S","United States",11753,52.1101,"1","0","yes"
"666","Kimball, Mrs. Susan Gertrude","female",45,"1st","S","United States",11753,52.1101,"1","0","yes"
"667","Kink-Heilmann, Miss. Luise Gretchen","female",4,"3rd","S","Switzerland",315153,22,"0","2","yes"
"668","Kink-Heilmann, Mrs. Luise","female",26,"3rd","S","Switzerland",315153,22,"1","1","yes"
"669","Kink, Miss. Maria","female",23,"3rd","S","Switzerland",315152,8.1303,"2","0","no"
"670","Kink, Mr. Anton","male",29,"3rd","S","Switzerland",315153,22,"3","1","yes"
"671","Kink, Mr. Vincenz","male",26,"3rd","S","Switzerland",315151,8.1303,"2","0","no"
"672","Kirkland, Fr. Charles Leonard","male",52,"2nd","Q","United States",219533,12.07,"0","0","no"
"673","Klaber, Mr. Herman","male",41,"1st","S","United States",113028,26.11,"0","0","no"
"674","Klasén, Miss. Gertrud Emilia","female",1,"3rd","S","Sweden",350405,12.0308,"1","1","no"
"675","Klasén, Mr. Klas Albin","male",18,"3rd","S","Sweden",350404,7.1701,"1","1","no"
"676","Klasén, Mrs. Hulda Kristina Eugenia","female",36,"3rd","S","Sweden",350405,12.0308,"0","2","no"
"677","Knight, Mr. Robert","male",41,"2nd","B","Northern Ireland",239855,NA,"0","0","no"
"678","Kraeff, Mr. Theodor","male",NA,"3rd","C","Bulgaria",349253,7.1711,"0","0","no"
"679","Krekorian, Mr. Neshan","male",25,"3rd","C","Turkey",2654,7.0407,"0","0","yes"
"680","Kreuchen, Miss. Emilie","female",29,"1st","S",NA,24160,211.0609,"0","0","yes"
"681","Krins, Mr. Georges Alexandre","male",23,"2nd","S","England",250654,NA,NA,NA,"no"
"682","Kutscher (Lithman), Mr. Simon","male",26,"3rd","S","Scotland",251,7.11,"0","0","no"
"683","Kvillner, Mr. Johan Henrik Johannesson","male",31,"2nd","S","Sweden",18723,10.1,"0","0","no"
"684","Lahhūd Ishaq Mu'awwad, Mr. Sarkīs","male",35,"3rd","C","Lebanon",2624,7.0406,"0","0","no"
"685","Lahtinen, Fr. William","male",35,"2nd","S","United States",250651,26,"1","1","no"
"686","Lahtinen, Mrs. Anna Amelia","female",34,"2nd","S","United States",250651,26,"1","1","no"
"687","Laitinen, Miss. Kristina Sofia","female",37,"3rd","S","Finland",4135,9.1109,"0","0","no"
"688","Lamb, Mr. John J.","male",31,"2nd","Q","Ireland",240261,10.1402,"0","0","no"
"689","Lam, Mr. Ali","male",38,"3rd","S","China/Hong Kong",1601,56.0911,"0","0","yes"
"690","Lam, Mr. Len","male",23,"3rd","S",NA,1601,56.0911,"0","0","no"
"691","Landergren, Miss. Aurora Adelia","female",22,"3rd","S","Sweden",7077,7.05,"0","0","yes"
"692","Lane, Mr. Patrick","male",17,"3rd","Q","Ireland",7935,7.15,"0","0","no"
"693","Lang, Mr. Fang","male",32,"3rd","S",NA,1601,56.0911,"0","0","yes"
"694","Laroche, Miss. Louise","female",1,"2nd","C","France",2123,41.1107,"1","2","yes"
"695","Laroche, Miss. Simonne Marie Anne Andrée","female",3,"2nd","C","France",2123,41.1107,"1","2","yes"
"696","Laroche, Mr. Joseph Philippe Lemercier","male",25,"2nd","C","France",2123,41.1107,"1","2","no"
"697","Laroche, Mrs. Juliette Marie Louise","female",22,"2nd","C","France",2123,41.1107,"1","2","yes"
"698","Larsson, Mr. August Viktor","male",29,"3rd","S","United States",7545,9.0908,"0","0","no"
"699","Larsson, Mr. Bengt Edvin","male",29,"3rd","S","Sweden",347067,7.1506,"0","0","no"
"700","Larsson, Mr. Edvard","male",22,"3rd","S","Sweden",347065,7.1506,"0","0","no"
"701","Leader, Dr. Alice May","female",49,"1st","S","United States",17465,25.1807,"0","0","yes"
"702","Lefebvre, Master. Henry","male",5,"3rd","S",NA,4133,25.0904,"3","1","no"
"703","Lefebvre, Miss. Ida","female",3,"3rd","S",NA,4133,25.0904,"3","1","no"
"704","Lefebvre, Miss. Jeannie","female",8,"3rd","S",NA,4133,25.0904,"3","1","no"
"705","Lefebvre, Miss. Mathilde","female",12,"3rd","S",NA,4133,25.0904,"3","1","no"
"706","Lefebvre, Mrs. Frances Marie","female",40,"3rd","S",NA,4133,25.0904,"0","4","no"
"707","Lehmann, Miss. Bertha","female",17,"2nd","C","Switzerland",1748,12,"0","0","yes"
"708","Leinonen, Mr. Antti Gustaf","male",32,"3rd","S","Finland",3101292,7.1806,"0","0","no"
"709","Leitch, Miss. Jessie Wills","female",31,"2nd","S","Scotland",248727,33,"0","0","yes"
"710","Lemore, Mrs. Amelia","female",39,"2nd","S","England",34260,10.1,"0","0","yes"
"711","Lennon, Miss. Mary","female",18,"3rd","Q","Ireland",370371,15.1,"1","0","no"
"712","Lennon, Mr. Denis","male",20,"3rd","Q","Ireland",370371,15.1,"1","0","no"
"713","Leroy, Miss. Berthe","female",27,"1st","C","France",17761,106.0806,"0","0","yes"
"714","Lester, Mr. James","male",41,"3rd","S","England",48871,24.03,"0","0","no"
"715","Lesueur, Mr. Gustave J.","male",35,"1st","C",NA,17755,512.0607,"0","0","yes"
"716","Lévy, Mr. René Jacques","male",37,"2nd","S","Canada",2163,12.1706,"0","0","no"
"717","Lewy, Mr. Ervin G.","male",30,"1st","C","United States",17612,27.1405,"0","0","no"
"718","Leyson, Mr. Robert William Norman","male",25,"2nd","S","England",29566,10.1,"0","0","no"
"719","Lievens, Mr. René Aimé","male",24,"3rd","S","Belgium",345781,9.1,"0","0","no"
"720","Lindahl, Miss. Agda Thorilda Viktoria","female",25,"3rd","S","Sweden",347071,7.1506,"0","0","no"
"721","Lindblom, Miss. Augusta Charlotta","female",45,"3rd","S","England",347073,7.15,"0","0","no"
"722","Lindeberg-Lind, Mr. Erik Gustaf","male",42,"1st","S","Sweden",17475,26.11,"0","0","no"
"723","Lindell, Mr. Edvard Bengtsson","male",36,"3rd","S","Sweden",349910,15.11,"1","0","no"
"724","Lindell, Mrs. Elin Gerda","female",30,"3rd","S","Sweden",349910,15.11,"1","0","no"
"725","Lindqvist, Mr. Eino William","male",20,"3rd","S","Finland",3101285,7.1806,"1","0","yes"
"726","Lindström, Mrs. Sigrid","female",55,"1st","C","Sweden",112377,27.1405,"0","0","yes"
"727","Linehan, Mr. Michael","male",21,"3rd","Q","Ireland",330971,7.1707,"0","0","no"
"728","Lines, Miss. Mary Conover","female",16,"1st","C","France",17592,39.08,"0","1","yes"
"729","Lines, Mrs. Elizabeth Lindsey","female",50,"1st","C","United States",17592,39.08,"0","1","yes"
"730","Lingane, Mr. John","male",61,"2nd","Q","Ireland",235509,12.07,"0","0","no"
"731","Ling, Mr. Lee","male",28,"3rd","S",NA,1601,56.0911,"0","0","no"
"732","Linhart, Mr. Wenzel","male",27,"3rd","S","Austria",345775,9.1,"0","0","no"
"733","Livshin, Mr. David","male",25,"3rd","S","Latvia",374887,7.05,"0","0","no"
"734","Lobb, Mrs. Cordelia","female",34,"3rd","S","England",3336,16.02,"1","0","no"
"735","Lobb, Mr. William Arthur","male",31,"3rd","S","England",3336,16.02,"1","0","no"
"736","Lockyer, Mr. Edward Thomas","male",19,"3rd","S","England",1222,7.1707,"0","0","no"
"737","Longley, Miss. Gretchen Fiske","female",21,"1st","C","United States",13502,77.1902,"0","0","yes"
"738","Long, Mr. Milton Clyde","male",29,"1st","S","United States",113501,30,"0","0","no"
"739","Loring, Mr. Joseph Holland","male",30,"1st","S","United States",113801,45.1,"0","0","no"
"740","Louch, Mr. Charles","male",50,"2nd","S","England",3085,26,"1","0","no"
"741","Louch, Mrs. Alice Adelaide","female",43,"2nd","S","England",3085,26,"1","0","yes"
"742","Lovell, Mr. John Hall","male",20,"3rd","S","England",21173,7.05,"0","0","no"
"743","Lulic, Mr. Nikola","male",29,"3rd","S","Croatia (Modern)",315098,8.1303,"0","0","yes"
"744","Lundahl, Mr. Johan Svensson","male",50,"3rd","S","Sweden",347743,7.0101,"0","0","no"
"745","Lundin, Miss. Olga Elida","female",23,"3rd","S","United States",347469,7.1701,"0","0","yes"
"746","Lundström, Mr. Thure Edvin","male",32,"3rd","S","Sweden",350403,7.1107,"0","0","yes"
"747","Lurette, Miss. Eugénie Elise","female",59,"1st","C","France",17569,146.1005,"0","0","yes"
"748","Lymperopoulus, Mr. Panagiotis K.","male",30,"3rd","C","Greece",2683,6.0809,"0","0","no"
"749","Lyntakoff, Mr. Stanko","male",44,"3rd","S",NA,349235,7.1711,"0","0","no"
"750","MacKay, Mr. George William","male",20,"3rd","S","Scotland",42795,7.11,"0","0","no"
"751","Mack, Mrs. Mary","female",57,"2nd","S","England",3,10.1,"0","0","no"
"752","Madigan, Miss. Margaret","female",21,"3rd","Q","Ireland",370370,7.15,"0","0","yes"
"753","Madill, Miss. Georgette Alexandra","female",16,"1st","S","United States",24160,211.0609,"0","1","yes"
"754","Madsen, Mr. Fridtjof Arne","male",24,"3rd","S","Norway",17369,7.021,"0","0","yes"
"755","Mäenpää, Mr. Matti Alexanteri","male",22,"3rd","S","Finland",3101275,7.0206,"0","0","no"
"756","Maguire, Mr. John Edward","male",30,"1st","S","United States",110469,26,"0","0","no"
"757","Mahon, Miss. Bridget Delia","female",20,"3rd","Q","Ireland",330924,7.1707,"0","0","no"
"758","Maioni, Miss. Roberta Elizabeth Mary","female",20,"1st","S","England",110152,86.1,"0","0","yes"
"759","Maisner, Mr. Simon","male",34,"3rd","S","England",2816,8.01,"0","0","no"
"760","Mäkinen, Mr. Kalle Edvard","male",29,"3rd","S","Finland",3101268,7.1806,"0","0","no"
"761","Malachard, Mr. Jean-Noël","male",25,"2nd","C","France",237735,15,"0","0","no"
"762","Mallet, Master. André Clement","male",1,"2nd","C","France",2079,37,"0","2","yes"
"763","Mallet, Mr. Albert Denis Pierre","male",45,"2nd","C","France",2079,37,"1","1","no"
"764","Mallet, Mrs. Antonine Marie","female",24,"2nd","C","France",2079,37,"1","1","yes"
"765","Māmā, Mr. Hannā Mikā'īl","male",18,"3rd","C","Lebanon",2677,7.0407,"0","0","yes"
"766","Mangan, Miss. Mary","female",32,"3rd","Q","Ireland",364850,7.15,"0","0","no"
"767","Mangiavacchi, Mr. Serafino Emilio","male",30,"2nd","C","United States",32861,15.1107,"0","0","no"
"768","Mannion, Miss. Margaret","female",28,"3rd","Q","Ireland",36866,7.1409,"0","0","yes"
"769","Mardirosian, Mr. Sarkis","male",25,"3rd","C","Turkey",2655,7.0407,"0","0","no"
"770","Maréchal, Mr. Pierre","male",29,"1st","C","France",11774,29.14,"0","0","yes"
"771","Marinko, Mr. Dmitri","male",23,"3rd","S","Yugoslavia",349238,7.1711,"0","0","no"
"772","Markoff, Mr. Marin","male",35,"3rd","S","Bulgaria",349213,7.1711,"0","0","no"
"773","Markun, Mr. Johann","male",33,"3rd","C","Slovenia",349257,7.1711,"0","0","no"
"774","Marvin, Mr. Daniel Warner","male",18,"1st","S","United States",113773,53.02,"1","0","no"
"775","Marvin, Mrs. Mary Graham Carmichael","female",18,"1st","S","Scotland",113773,53.02,"1","0","yes"
"776","Matinoff, Mr. Nicola","male",30,"3rd","C","Bulgaria",349255,7.1711,"0","0","no"
"777","Matthews, Mr. William John","male",23,"2nd","S","England",28228,13,"0","0","no"
"778","Maybery, Mr. Frank Hubert","male",36,"2nd","S","England",239059,16,"0","0","no"
"779","Mayné, Mlle. Berthe Antonine","female",24,"1st","C","Belgium",17482,49.1001,"0","0","yes"
"780","McCaffry, Mr. Thomas Francis","male",46,"1st","S","Canada",13050,75.041,"0","0","no"
"781","McCarthy, Miss. Catherine","female",25,"3rd","Q","Ireland",383123,7.15,"0","0","yes"
"782","McCarthy, Mr. Timothy J.","male",55,"1st","S","United States",17463,51.1703,"0","0","no"
"783","McCormack, Mr. Thomas Joseph","male",19,"3rd","Q","United States",367228,7.15,"0","0","yes"
"784","McCoy, Miss. Agnes","female",29,"3rd","Q","Ireland",367226,23.05,"2","0","yes"
"785","McCoy, Miss. Alice","female",26,"3rd","Q","Ireland",367226,23.05,"2","0","yes"
"786","McCoy, Mr. Bernard","male",24,"3rd","Q","Ireland",367226,23.05,"2","0","yes"
"787","McCrae, Mr. Arthur Gordon","male",32,"2nd","S","Australia",237216,13.1,"0","0","no"
"788","McCrie, Mr. James Matthew","male",32,"2nd","S","Canada",233478,13,"0","0","no"
"789","McDermott, Miss. Bridget Delia","female",31,"3rd","Q","Ireland",330932,7.1508,"0","0","yes"
"790","McEvoy, Mr. Michael","male",20,"3rd","Q","Ireland",36568,15.1,"0","0","no"
"791","McGough, Mr. James Robert","male",35,"1st","S","Ireland",17473,26.0509,"0","0","yes"
"792","McGovern, Ms. Mary","female",22,"3rd","Q","Ireland",330931,7.1707,"0","0","yes"
"793","McGowan, Miss. Anna Louise","female",17,"3rd","Q","United States",330923,8,"0","0","yes"
"794","McGowan, Miss. Catherine","female",42,"3rd","Q","Ireland",9232,7.15,"0","0","no"
"795","McKane, Mr. Peter Daniel","male",46,"2nd","S","Channel Islands",28403,26,"0","0","no"
"796","McMahon, Mr. Martin","male",19,"3rd","Q","Ireland",370372,7.15,"0","0","no"
"797","McNamee, Mr. Neal","male",27,"3rd","S","England",376566,16.02,"1","0","no"
"798","McNamee, Mrs. Eileen","female",19,"3rd","S","England",376566,16.02,"1","0","no"
"799","McNeill, Miss. Bridget","female",32,"3rd","Q","Ireland",370368,7.15,"0","0","no"
"800","Meanwell, Mrs. Marian","female",62,"3rd","S","England",392087,8.01,"0","0","no"
"801","Meehan, Mr. John","male",22,"3rd","Q","Ireland",3130,7.15,"0","0","no"
"802","Meek, Mrs. Annie Louisa","female",32,"3rd","S","England",343095,8.01,"0","0","no"
"803","Mellinger, Miss. Violet Madeline","female",13,"2nd","S","England",250644,19.1,"0","1","yes"
"804","Mellinger, Mrs. Elizabeth Anne","female",42,"2nd","S","England",250644,19.1,"0","1","yes"
"805","Mellors, Mr. William John","male",19,"2nd","S","England",751,10.1,"0","0","yes"
"806","Meo (Martino), Mr. Alfonzo","male",48,"3rd","S","Italy",11206,8.01,"0","0","no"
"807","Mernagh, Mr. Robert","male",28,"3rd","Q","Ireland",368703,7.15,"0","0","no"
"808","Meyer, Mr. August","male",31,"2nd","S","England",248723,13,"0","0","no"
"809","Meyer, Mr. Edgar Joseph","male",28,"1st","C","United States",17604,82.0305,"1","0","no"
"810","Meyer, Mrs. Leila","female",25,"1st","C","United States",17604,82.0305,"1","0","yes"
"811","Midtsjø, Mr. Karl Albert","male",21,"3rd","S","Norway",345501,7.1506,"0","0","yes"
"812","Mihoff, Mr. Stoytcho","male",28,"3rd","S","Bulgaria",349207,7.1711,"0","0","no"
"813","Miles, Mr. Frank","male",23,"3rd","S","England",359306,8.01,"0","0","no"
"814","Millet, Mr. Francis Davis","male",65,"1st","C","United States",13509,26.11,"0","0","no"
"815","Milling, Mr. Jacob Christian","male",48,"2nd","S","Denmark",234360,13,"0","0","no"
"816","Minahan, Dr. William Edward","male",44,"1st","Q","United States",19928,90,"2","0","no"
"817","Minahan, Miss. Daisy E.","female",33,"1st","Q","United States",19928,90,"1","0","yes"
"818","Minahan, Mrs. Lillian E.","female",37,"1st","Q","United States",19928,90,"1","0","yes"
"819","Mineff, Mr. Ivan","male",24,"3rd","S",NA,349233,7.1711,"0","0","no"
"820","Minkoff, Mr. Lazar","male",21,"3rd","S","Bulgaria",349211,7.1711,"0","0","no"
"821","Mitchell, Mr. Henry Michael","male",72,"2nd","S","England",24580,10.1,"0","0","no"
"822","Mitkoff, Mr. Mito","male",23,"3rd","S",NA,349221,7.1711,"0","0","no"
"823","Mockler, Miss. Ellen Mary","female",23,"3rd","Q","Ireland",330980,7.1707,"0","0","yes"
"824","Mock, Mr. Philipp Edmund","male",30,"1st","C","United States",13236,57.15,"1","0","yes"
"825","Moen, Mr. Sigurd Hansen","male",27,"3rd","S","Norway",348123,7.13,"0","0","no"
"826","Molson, Mr. Harry Markland","male",55,"1st","S","Canada",113787,30.1,"0","0","no"
"827","Montvila, Fr. Juozas","male",27,"2nd","S","England",211536,13,"0","0","no"
"828","Moore, Mr. Clarence Bloomfield","male",47,"1st","S","United States",113796,42.08,"0","0","no"
"829","Moore, Mr. Leonard Charles","male",19,"3rd","S","England",54510,8.01,"0","0","no"
"830","Moor, Master. Meier","male",7,"3rd","S",NA,392096,12.0906,"0","1","yes"
"831","Moor, Mrs. Beila","female",29,"3rd","S",NA,392096,12.0906,"0","1","yes"
"832","Moran, Miss. Bridget","female",28,"3rd","Q","Ireland",371110,24.03,"1","0","yes"
"833","Moran, Mr. Daniel J.","male",28,"3rd","Q","Ireland",371110,24.03,"1","0","no"
"834","Moraweck, Dr. Ernest","male",54,"2nd","S","United States",29011,14,"0","0","no"
"835","Morley, Mr. Henry Samuel","male",38,"2nd","S","England",250655,26,"0","0","no"
"836","Morley, Mr. William","male",34,"3rd","S","England",364506,8.01,"0","0","no"
"837","Morrow, Mr. Thomas Rowan","male",30,"3rd","Q","Ireland",372622,7.15,"0","0","no"
"838","Moss, Mr. Albert Johan","male",29,"3rd","S","Norway",312991,7.1506,"0","0","yes"
